STOCK,SYMBOL,LINK
UBER,,https://www.indmoney.com/us-stocks/uber/uber-technologies-inc-share-price
ZOOM VIDEO COMMUNICATIONS,,https://www.indmoney.com/us-stocks/zm/zoom-video-communications-inc-share-price
SHOPIFY,,https://www.indmoney.com/us-stocks/shop/shopify-inc-share-price
LYFT,,https://www.indmoney.com/us-stocks/lyft/lyft-inc-share-price
MATTERPORT,,https://www.indmoney.com/us-stocks/mttr/matterport-inc-share-price
SNAP INC,,https://www.indmoney.com/us-stocks/snap/snap-inc-share-price
UNITY SOFTWARE,,https://www.indmoney.com/us-stocks/u/unity-software-inc-share-price
CLOUDFLAIR INC,,https://www.indmoney.com/us-stocks/net/cloudflare-inc-share-price
TWILIO,,https://www.indmoney.com/us-stocks/twlo/twilio-inc-share-price
PAYPAL HOLDINGS INC,,https://www.indmoney.com/us-stocks/pypl/paypal-holdings-inc-share-price
DOCUSIGN,,https://www.indmoney.com/us-stocks/docu/docusign-inc-share-price
BLOCK INC,,https://www.indmoney.com/us-stocks/sq/square-inc-share-price
DOXIMITY INC,,https://www.indmoney.com/us-stocks/docs/doximity-inc-share-price
UIPATH INC,,https://www.indmoney.com/us-stocks/path/uipath-inc-share-price
NETFLIX INC,,https://www.indmoney.com/us-stocks/nflx/netflix-inc-share-price
HUBSPOT INC,,https://www.indmoney.com/us-stocks/hubs/hubspot-inc-share-price
QUANTUMSCAPE CORP,,https://www.indmoney.com/us-stocks/qs/quantumscape-corp-share-price
ALIBABA GROUP,,https://www.indmoney.com/us-stocks/baba/alibaba-group-holding-ltd-share-price
AIRBNB,,https://www.indmoney.com/us-stocks/abnb/airbnb-inc-share-price
TATA MOTORS LTD,,https://www.indmoney.com/us-stocks/ttm/tata-motors-ltd-share-price
SPOTIFY TECHNOLOGY SA,,https://www.indmoney.com/us-stocks/spot/spotify-technology-s-a-share-price
AMAZON.COM INC,,https://www.indmoney.com/us-stocks/amzn/amazon-com-inc-share-price
SQUARESPACE INC,,https://www.indmoney.com/us-stocks/sqsp/squarespace-inc-share-price
SNOWFLAKE INC,,https://www.indmoney.com/us-stocks/snow/snowflake-inc-share-price
ADVANCED MICRO DEVICES INC,,https://www.indmoney.com/us-stocks/amd/advanced-micro-devices-inc-share-price
FACEBOOK INC - CLASS A,,https://www.indmoney.com/us-stocks/meta/meta-platforms-inc
ADOBE SYSTEMS,,https://www.indmoney.com/us-stocks/adbe/adobe-inc-share-price
SALESFORCE INC,,https://www.indmoney.com/us-stocks/crm/salesforce-com-inc-share-price
NVIDIA CORPORATION,,https://www.indmoney.com/us-stocks/nvda/nvidia-corp-share-price
PFIZER INC,,https://www.indmoney.com/us-stocks/pfe/pfizer-inc-share-price
COINBASE GLOBAL INC,,https://www.indmoney.com/us-stocks/coin/coinbase-global-inc-share-price
AMDOCS LIMITED,,https://www.indmoney.com/us-stocks/dox/amdocs-ltd-share-price
TESLA INC,,https://www.indmoney.com/us-stocks/tsla/tesla-inc-share-price
